,沪深300,国债,纳斯达克,黄金,cash
0,0.19995862354320393,0.2,0.1976418570375829,0.20153340635268346,0.2
1,0.2000689607613268,0.20019175455417068,0.2001473839351511,0.20197152245345018,0.2
2,0.19539342114336944,0.20019175455417068,0.20397936624907886,0.20175246440306682,0.2
3,0.19471760568236673,0.20019175455417068,0.20265291083271927,0.20175246440306682,0.2
4,0.1928694572788084,0.20019175455417068,0.20029476787030218,0.20416210295728368,0.2
5,0.19288324943107377,0.20076701821668264,0.199852616064849,0.20547645125958375,0.2
6,0.19223501827460177,0.20115052732502398,0.1989683124539426,0.2056955093099671,0.2
7,0.19783463209433835,0.20095877277085333,0.19631540162122335,0.20372398685651696,0.2
8,0.19953106682297778,0.2015340364333653,0.1988209285187915,0.2094194961664841,0.2
9,0.18413902489483486,0.2015340364333653,0.1988209285187915,0.21248630887185102,0.2
10,0.18640093786635406,0.20172579098753596,0.20029476787030218,0.21270536692223438,0.2
11,0.19477277429142817,0.20172579098753596,0.20147383935151075,0.21621029572836803,0.2
12,0.1957933935590649,0.2019175455417066,0.20515843773028747,0.21380065717415114,0.2
13,0.19601406799531068,0.2019175455417066,0.20574797347089172,0.21599123767798467,0.2
14,0.19780704778980762,0.20230105465004794,0.20574797347089172,0.21664841182913475,0.2
15,0.1960140679953107,0.2021093000958773,0.20044215180545327,0.21467688937568458,0.2
16,0.19326942969450386,0.20172579098753596,0.1988209285187915,0.21533406352683462,0.2
17,0.19085580304806568,0.20153403643336526,0.20073691967575538,0.21401971522453453,0.2
18,0.18824908626991246,0.20153403643336526,0.19941046425939576,0.2105147864184009,0.2
19,0.18840079994483142,0.20210930009587724,0.20324244657332355,0.21467688937568455,0.2
20,0.18645610647541552,0.20210930009587724,0.2029476787030214,0.21182913472070097,0.2
21,0.18453899731053036,0.20230105465004786,0.2048636698599853,0.2122672508214677,0.2
22,0.18155989242121237,0.20210930009587721,0.20324244657332358,0.211829134720701,0.2
23,0.18338045652024001,0.20249280920421855,0.20280029476787034,0.2076670317634173,0.2
24,0.18670436521619205,0.20249280920421855,0.20574797347089172,0.20810514786418402,0.2
25,0.1881801255085857,0.2030680728667305,0.20663227708179815,0.20679079956188393,0.2
26,0.18866285083787332,0.2032598274209012,0.20913780397936635,0.20438116100766707,0.2
27,0.1901248189780016,0.20345158197507182,0.210611643330877,0.2059145673603505,0.2
28,0.19176608509757953,0.20383509108341316,0.210611643330877,0.20679079956188387,0.2
29,0.19302117095372734,0.20383509108341316,0.21090641120117917,0.20547645125958378,0.2
30,0.19060754430728916,0.20402684563758386,0.21370670596904945,0.20328587075575028,0.2
31,0.19539342114336944,0.2038350910834132,0.21459100957995583,0.20350492880613363,0.2
32,0.19573822495000345,0.20364333652924255,0.21400147383935156,0.20350492880613363,0.2
33,0.19216605751327495,0.20306807286673054,0.21503316138540907,0.20372398685651696,0.2
34,0.19342114336942282,0.20325982742090123,0.21429624170965372,0.20306681270536692,0.2
35,0.19153161850906836,0.20268456375838925,0.21473839351510696,0.2021905805038335,0.2
36,0.19055237569822772,0.20268456375838925,0.21208548268238772,0.20153340635268346,0.2
37,0.193848700089649,0.2023010546500479,0.21282240235814304,0.19737130339539977,0.2
38,0.1928694572788084,0.2024928092042186,0.20884303610906418,0.1958378970427163,0.2
39,0.19307633956278877,0.20287631831255995,0.20810611643330884,0.19561883899233296,0.2
40,0.19680022067443625,0.2030680728667306,0.20957995578481953,0.19605695509309967,0.2
41,0.19815185159644164,0.20268456375838928,0.20840088430361098,0.19518072289156627,0.2
42,0.20295152058478724,0.20249280920421864,0.21105379513633024,0.19539978094194965,0.2
43,0.20576511964692087,0.20249280920421864,0.2112011790714813,0.19364731653888284,0.2
44,0.21063374939659327,0.20230105465004794,0.2134119380987473,0.1921139101861994,0.2
45,0.2102751534376939,0.20230105465004794,0.21326455416359627,0.19496166484118296,0.2
46,0.21315771326115437,0.20268456375838928,0.2150331613854091,0.19496166484118296,0.2
47,0.21748844907247772,0.20249280920421864,0.21414885777450268,0.19671412924424977,0.2
48,0.21754361768153913,0.20249280920421864,0.21326455416359627,0.19759036144578315,0.2
49,0.2157506378870422,0.20230105465004794,0.20825350036845994,0.19802847754654984,0.2
50,0.2162885318253913,0.20172579098753599,0.20736919675755353,0.20043811610076673,0.2
51,0.21746086476794696,0.20134228187919467,0.20840088430361098,0.2,0.2
52,0.22381904696227836,0.201150527325024,0.21090641120117917,0.19846659364731656,0.2
53,0.22180539273153568,0.20057526366251205,0.20869565217391312,0.19583789704271634,0.2
54,,,,,
55,0.08589496952248771,0.7037733650003186,0.11682206382969869,0.12801445549669602,0.0
56,0.08683933151332864,0.7031031046526992,0.11682206382969869,0.1275933553141411,0.0
57,0.08869657676198248,0.7024328443050799,0.11731917899493144,0.12857592240676924,0.0
58,0.08943632698814122,0.7010923236098412,0.11823055679785818,0.12885665586180584,0.0
59,0.08876478068354321,0.7010923236098412,0.11897622954570732,0.12703188840406784,0.0
60,0.0904803716335709,0.7010923236098412,0.11947334471094007,0.12717225513158614,0.0
61,0.09209627992900984,0.7017625839574605,0.1192247871283237,0.1285759224067692,0.0
62,0.09247402472534622,0.7017625839574605,0.11889337701816852,0.12731262185910444,0.0
63,0.09128307932578571,0.7031031046526992,0.11955619723847885,0.12689152167654952,0.0
64,0.09404796137674777,0.7031031046526992,0.11914193460078487,0.128014455496696,0.0
65,0.09576879878228015,0.7037733650003187,0.11715347393985383,0.1277337220416594,0.0
66,0.09422634086390662,0.706454406390796,0.11897622954570727,0.12871628913428754,0.0
