"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2009年12月4日","22,498.15","22,400.49","22,528.84","22,240.86","-","-0.25%"
"2009年12月3日","22,553.87","22,503.68","22,593.72","22,333.67","-","1.19%"
"2009年12月2日","22,289.57","22,402.51","22,439.36","22,266.69","-","0.80%"
"2009年12月1日","22,113.15","21,813.42","22,130.75","21,789.41","-","1.34%"
"2009年11月30日","21,821.50","21,687.69","21,924.08","21,687.69","-","3.25%"
"2009年11月27日","21,134.50","21,623.92","21,685.13","21,002.49","-","-4.84%"
"2009年11月26日","22,210.41","22,580.25","22,580.25","22,108.26","-","-1.78%"
"2009年11月25日","22,611.80","22,505.93","22,638.89","22,336.07","-","0.84%"
"2009年11月24日","22,423.14","22,697.62","22,813.93","22,395.38","-","-1.53%"
"2009年11月23日","22,771.39","22,541.69","22,794.13","22,490.34","-","1.41%"
"2009年11月20日","22,455.84","22,486.56","22,584.55","22,376.36","-","-0.83%"
"2009年11月19日","22,643.16","22,894.84","22,894.84","22,587.18","-","-0.86%"
"2009年11月18日","22,840.33","22,974.36","23,099.57","22,645.74","-","-0.32%"
"2009年11月17日","22,914.15","23,000.37","23,000.37","22,798.02","-","-0.13%"
"2009年11月16日","22,943.98","22,789.99","22,998.85","22,770.69","-","1.73%"
"2009年11月13日","22,553.63","22,381.34","22,585.53","22,343.99","-","0.70%"
"2009年11月12日","22,397.57","22,660.47","22,707.36","22,359.09","-","-1.01%"
"2009年11月11日","22,627.21","22,534.14","22,643.66","22,396.04","-","1.61%"
"2009年11月10日","22,268.16","22,556.56","22,556.56","22,200.24","-","0.27%"
"2009年11月9日","22,207.55","22,004.51","22,214.85","21,941.62","-","1.73%"
"2009年11月6日","21,829.72","21,866.72","21,931.36","21,780.57","-","1.63%"
"2009年11月5日","21,479.08","21,405.06","21,549.10","21,372.99","-","-0.63%"
"2009年11月4日","21,614.77","21,396.50","21,699.84","21,360.66","-","1.76%"
"2009年11月3日","21,240.06","21,598.63","21,684.73","21,223.42","-","-1.76%"
"2009年11月2日","21,620.19","21,194.12","21,632.90","21,130.90","-","-0.61%"
"2009年10月30日","21,752.87","21,720.41","21,953.59","21,720.41","-","2.29%"
"2009年10月29日","21,264.99","21,290.09","21,346.55","21,134.33","-","-2.28%"
"2009年10月28日","21,761.58","22,004.55","22,149.04","21,740.33","-","-1.84%"
"2009年10月27日","22,169.59","22,016.79","22,277.06","22,016.79","-","-1.86%"
"2009年10月26日","22,589.73","22,589.73","22,589.73","22,589.73","-","0.00%"
"2009年10月23日","22,589.73","22,438.90","22,620.01","22,407.40","-","1.71%"
"2009年10月22日","22,210.52","22,237.37","22,266.74","22,002.79","-","-0.48%"
"2009年10月21日","22,318.11","22,299.65","22,407.14","22,200.64","-","-0.30%"
"2009年10月20日","22,384.96","22,260.41","22,451.62","22,260.41","-","0.83%"
"2009年10月19日","22,200.46","21,761.83","22,250.23","21,761.83","-","1.23%"
"2009年10月16日","21,929.90","22,138.06","22,143.01","21,899.17","-","-0.31%"
"2009年10月15日","21,999.08","22,209.19","22,250.35","21,971.48","-","0.51%"
"2009年10月14日","21,886.48","21,564.33","21,893.42","21,562.66","-","1.95%"
"2009年10月13日","21,467.36","21,371.82","21,679.15","21,371.82","-","0.79%"
"2009年10月12日","21,299.35","21,623.33","21,623.33","21,262.71","-","-0.93%"
"2009年10月9日","21,499.44","21,572.70","21,572.70","21,421.77","-","0.03%"
"2009年10月8日","21,492.90","21,418.27","21,524.05","21,284.42","-","1.18%"
"2009年10月7日","21,241.59","21,074.98","21,343.75","21,072.59","-","2.07%"
"2009年10月6日","20,811.53","20,509.64","20,824.13","20,509.64","-","1.87%"
"2009年10月5日","20,429.07","20,342.58","20,489.95","20,305.06","-","0.26%"
"2009年10月2日","20,375.49","20,380.23","20,470.92","20,323.59","-","-2.77%"
"2009年10月1日","20,955.25","20,955.25","20,955.25","20,955.25","-","0.00%"
"2009年9月30日","20,955.25","21,036.18","21,090.49","20,792.98","-","-0.28%"
"2009年9月29日","21,013.17","20,889.81","21,087.25","20,889.81","-","2.06%"
"2009年9月28日","20,588.41","20,798.52","20,829.51","20,534.82","-","-2.07%"
"2009年9月25日","21,024.40","20,810.81","21,065.73","20,766.46","-","-0.13%"
"2009年9月24日","21,050.73","21,386.47","21,399.23","20,963.37","-","-2.52%"
"2009年9月23日","21,595.52","21,655.62","21,742.39","21,524.33","-","-0.49%"
"2009年9月22日","21,701.14","21,594.34","21,704.14","21,491.69","-","1.06%"
"2009年9月21日","21,472.85","21,574.94","21,730.71","21,457.35","-","-0.70%"
"2009年9月18日","21,623.45","21,640.97","21,765.98","21,515.93","-","-0.67%"
"2009年9月17日","21,768.51","21,674.71","21,929.79","21,636.52","-","1.71%"
"2009年9月16日","21,402.92","21,086.75","21,403.13","20,950.38","-","2.57%"
"2009年9月15日","20,866.37","21,049.22","21,049.22","20,819.93","-","-0.31%"
"2009年9月14日","20,932.20","20,841.51","21,045.00","20,821.59","-","-1.08%"
"2009年9月11日","21,161.42","21,122.31","21,306.11","20,980.15","-","0.44%"
"2009年9月10日","21,069.56","21,131.08","21,322.55","21,020.92","-","1.05%"
"2009年9月9日","20,851.04","21,085.09","21,085.09","20,825.16","-","-1.04%"
"2009年9月8日","21,069.81","20,617.40","21,133.71","20,617.40","-","2.14%"
"2009年9月7日","20,629.31","20,502.85","20,667.58","20,446.16","-","1.53%"
"2009年9月4日","20,318.62","19,830.02","20,413.61","19,744.45","-","2.82%"
"2009年9月3日","19,761.68","19,526.89","19,823.03","19,526.89","-","1.23%"
"2009年9月2日","19,522.00","19,560.27","19,611.07","19,425.86","-","-1.76%"
"2009年9月1日","19,872.30","19,961.74","19,961.74","19,734.27","-","0.75%"
"2009年8月31日","19,724.19","19,827.13","19,827.13","19,592.07","-","-1.86%"
"2009年8月28日","20,098.62","20,409.13","20,409.13","20,004.70","-","-0.71%"
"2009年8月27日","20,242.75","20,289.34","20,364.40","20,147.34","-","-1.04%"
"2009年8月26日","20,456.32","20,542.76","20,576.60","20,401.74","-","0.10%"
"2009年8月25日","20,435.24","20,246.79","20,476.25","20,143.51","-","-0.49%"
"2009年8月24日","20,535.94","20,649.96","20,649.96","20,433.61","-","1.67%"
"2009年8月21日","20,199.02","20,288.56","20,439.42","20,002.78","-","-0.64%"
"2009年8月20日","20,328.86","20,282.72","20,465.22","20,196.33","-","1.88%"
"2009年8月19日","19,954.23","20,195.09","20,352.94","19,824.86","-","-1.73%"
"2009年8月18日","20,306.27","20,125.55","20,409.19","19,916.28","-","0.84%"
"2009年8月17日","20,137.65","20,467.30","20,471.77","20,058.10","-","-3.62%"
"2009年8月14日","20,893.33","21,023.96","21,037.17","20,639.56","-","0.15%"
"2009年8月13日","20,861.30","20,767.86","20,943.86","20,746.92","-","2.08%"
"2009年8月12日","20,435.24","20,725.90","20,725.90","20,417.76","-","-3.03%"
