"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2020年7月27日","10,536.27","10,421.70","10,546.43","10,399.86","912.98M","1.67%"
"2020年7月24日","10,363.18","10,294.41","10,418.75","10,217.31","909.49M","-0.94%"
"2020年7月23日","10,461.42","10,689.50","10,728.12","10,407.87","990.59M","-2.29%"
"2020年7月22日","10,706.13","10,687.58","10,745.32","10,627.45","841.40M","0.24%"
"2020年7月21日","10,680.36","10,837.88","10,839.93","10,650.46","1.06B","-0.81%"
"2020年7月20日","10,767.09","10,526.02","10,783.80","10,488.04","937.33M","2.51%"
"2020年7月17日","10,503.19","10,500.52","10,532.62","10,421.20","951.84M","0.28%"
"2020年7月16日","10,473.83","10,443.87","10,499.79","10,364.39","873.49M","-0.73%"
"2020年7月15日","10,550.49","10,576.72","10,604.67","10,420.54","1.04B","0.59%"
"2020年7月14日","10,488.58","10,310.25","10,497.83","10,182.46","974.17M","0.94%"
"2020年7月13日","10,390.84","10,729.92","10,824.78","10,368.04","1.08B","-2.13%"
"2020年7月10日","10,617.44","10,545.91","10,622.35","10,447.01","781.92M","0.66%"
"2020年7月9日","10,547.75","10,563.72","10,578.10","10,379.91","901.21M","0.53%"
"2020年7月8日","10,492.50","10,409.35","10,494.64","10,350.96","901.93M","1.44%"
"2020年7月7日","10,343.89","10,412.46","10,518.98","10,337.98","946.99M","-0.86%"
"2020年7月6日","10,433.65","10,360.38","10,462.05","10,354.98","1.04B","2.21%"
"2020年7月2日","10,207.63","10,268.67","10,310.36","10,194.06","887.00M","0.52%"
"2020年7月1日","10,154.63","10,063.67","10,197.19","10,048.04","972.05M","0.95%"
"2020年6月30日","10,058.76","9,875.28","10,085.59","9,863.67","1.10B","1.87%"
"2020年6月29日","9,874.15","9,771.72","9,877.34","9,663.61","977.01M","1.20%"
"2020年6月26日","9,757.22","9,995.12","10,000.67","9,749.07","2.67B","-2.59%"
"2020年6月25日","10,017.00","9,899.36","10,023.28","9,810.47","1.06B","1.09%"
"2020年6月24日","9,909.17","10,092.92","10,137.50","9,842.22","1.26B","-2.19%"
"2020年6月23日","10,131.37","10,130.83","10,221.85","10,112.44","1.18B","0.74%"
"2020年6月22日","10,056.48","9,945.49","10,059.61","9,916.60","1.06B","1.11%"
"2020年6月19日","9,946.12","10,042.13","10,053.91","9,872.94","2.39B","0.03%"
"2020年6月18日","9,943.05","9,892.48","9,959.20","9,885.66","1.03B","0.33%"
"2020年6月17日","9,910.53","9,943.31","9,991.21","9,891.81","1.01B","0.15%"
"2020年6月16日","9,895.87","9,949.78","9,963.63","9,748.38","1.09B","1.75%"
"2020年6月15日","9,726.02","9,426.90","9,756.07","9,403.00","1.08B","1.43%"
"2020年6月12日","9,588.81","9,715.87","9,768.64","9,413.62","1.04B","1.01%"
"2020年6月11日","9,492.73","9,791.24","9,868.08","9,491.31","1.25B","-5.27%"
"2020年6月10日","10,020.35","10,012.32","10,086.89","9,962.58","1.11B","0.67%"
"2020年6月9日","9,953.75","9,867.19","10,002.50","9,863.27","1.12B","0.29%"
